0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
DESTINO ESP.,FRENTE,CAMARA PTZ,CAMARA MULTISENSOR,ALTAVOZ IP,BOTON DE PANICO,DISPONIBILIDAD DE ESPACIO,MATERIAL BASE,METODO DE ANCLAJE,MEDIO DE COMUNICACION,ESTADO OPERATIVO,CUADRILLA - TIPO,FECHAS DE INSTALACION GABINETES (ADECUACION O INSTALACION NUEVA),CUADRILLA - TIPO,"FECHAS DE INSTALACION CAMARAS PTZ Y MULTISENSOR , MEGAFONOS IP , BOTON DE PANICO",,LOGISTICA,PTZ-01 ESTADIO GARCILASO,PTZ-57 LUCREPATA,PTZ-58 LIMACPAMPA,PTZ-68 AV. SOL GARCILASO ,PTZ-69 PUMACCHUPAN,PTZ-70 CLORINDA,PTZ-72 ROSAS PATA,PTZ-10 PASAJE GRECE 2,PTZ-08 CABRACANCHA TULLUMAYO,PTZ-32 MICHIPATA SANTA ANA,PTZ-33 ARCOPATA,PTZ-40 LA RAMPA,PTZ-82 TICA TICA 1,PTZ-20 PLATEROS,PTZ-31 SANTA ANA,PTZ-55 ESPADEROS,TOTALES,,CUADRILLA-01-C,CUADRILLA-02-C,CUADRILLA-03-L,CUADRILLA-04-L
OESTE MP-CUZCO,2,PTZ-40 LA RAMPA,,,,NO,POSTE,ABRAZADERAS PARA POSTE,MEDIA CONVERTE (FIBRA - MEDIA CONVERTER - CAMARA),ACTIVO,CUADRILLA-01-C,2026-06-09 00:00:00,CUADRILLA-01-C,2026-06-19 00:00:00,,TRANSFORMADOR (UND),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,4,4,4,4
OESTE MP-CUZCO,2,PTZ-82 TICA TICA 1,,,,NO,POSTE SEMAFORO,ABRAZADERAS PARA POSTE,MEDIA CONVERTE (FIBRA - MEDIA CONVERTER - CAMARA),ACTIVO,CUADRILLA-02-C,2026-06-09 00:00:00,CUADRILLA-02-C,2026-06-18 00:00:00,,SUPRESOR DE PICOS (UND),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,4,4,4,4
OESTE MP-CUZCO,2,PTZ-20 PLATEROS,,,,NO,POSTE,ABRAZADERAS PARA POSTE,SWITCH(UP),ACTIVO,CUADRILLA-02-C,2026-06-09 00:00:00,CUADRILLA-02-C,2026-06-19 00:00:00,,SOPORTE DE UPS (UND),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,4,4,4,4
OESTE MP-CUZCO,2,PTZ-31 SANTA ANA,MULTI-31 SANTA ANA,ALTAVOZ-31 SANTA ANA,,NO,POSTE,ABRAZADERAS PARA POSTE,MEDIA CONVERTE (FIBRA - MEDIA CONVERTER - CAMARA),ACTIVO,CUADRILLA-02-C,2026-06-09 00:00:00,CUADRILLA-02-C,2026-06-20 00:00:00,,SOPORTE DE TRANSFORMADOR  (UND),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,4,4,4,4
OESTE MP-CUZCO,2,PTZ-55 ESPADEROS,,,,NO,CEMENTO,BASE ANGULAR PARA VIVIENDA,POE (ANTENA - POE - CAMARA),ACTIVO,CUADRILLA-02-C,2026-06-09 00:00:00,CUADRILLA-02-C,2026-06-20 00:00:00,,PRENSAESTOPA (UND),2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,32,,8,8,8,8
,,,,,,,,,,,,,,,,CORRUGADO (M),5,5,15,5,5,10,15,5,5,5,10,5,5,5,15,5,120,,25,30,30,35
,,,,,,,,,,,,,,,,CABLE ETHERNET (M),5,5,15,5,5,10,15,5,5,5,10,5,5,5,15,5,120,,25,30,30,35
,,,,,,,,,,,,,,,,CABLE ELECTRICO (M),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,64,,16,16,16,16
,,,,,,,,,,,,,,,,CONECTOR RJ45 CAT 6A (UND),2,2,6,2,2,4,6,2,2,2,4,2,2,2,6,2,48,,10,12,12,14
,,,,,,,,,,,,,,,,BRAZOS (UND),1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,19,,4,5,5,5
,,,,,,,,,,,,,,,,BASES DE ANCLAJE PLANO (PAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
,,,,,,,,,,,,,,,,BASES DE ANCLAJE ANGULAR (PAR),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,,0,1,0,1
,,,,,,,,,,,,,,,,ABRAZADERAS POSTE CONCRETO (PAR),1,1,0,0,0,0,2,0,1,1,0,1,0,1,2,0,10,,3,3,2,2
,,,,,,,,,,,,,,,,ABRAZADERAS POSTE SEMAFORO (PAR),0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,7,,1,1,3,2
,,,,,,,,,,,,,,,,CINTA BANDIT (M),0,0,2,0,0,2,2,0,0,0,2,0,0,0,2,0,10,,2,2,2,4
,,,,,,,,,,,,,,,,EBILLAS (UND),0,0,2,0,0,2,2,0,0,0,2,0,0,0,2,0,10,,2,2,2,4
,,,,,,,,,,,,,,,,PATCHORE CAT 6A (UN),2,2,3,2,2,2,3,2,2,2,2,2,2,2,3,2,35,,8,9,9,9
