0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
DESTINO ESP.,FRENTE,CAMARA PTZ,CAMARA MULTISENSOR,ALTAVOZ IP,BOTON DE PANICO,DISPONIBILIDAD DE ESPACIO,MATERIAL BASE,METODO DE ANCLAJE,MEDIO DE COMUNICACION,ESTADO OPERATIVO,CUADRILLA - TIPO,FECHAS DE INSTALACION GABINETES (ADECUACION O INSTALACION NUEVA),CUADRILLA - TIPO,"FECHAS DE INSTALACION CAMARAS PTZ Y MULTISENSOR , MEGAFONOS IP , BOTON DE PANICO",,LOGISTICA,PTZ-11 PASAJE GRECE 3,PTZ-12 PASAJE GRECE 4,PTZ-59 SANTO DOMINGO,PTZ-62 PAVITOS,PTZ-63 BELEN,PTZ-64 PUENTE GRAU,PTZ-65 KUYCHIPUNCO,PTZ-67 PARDO,PTZ-07 CABRACANCHA 2,PTZ-23 TRIUNFO 1,PTZ-24 TRIUNFO 2,PTZ-05 ROYAL QOSCO,PTZ-18 SUECIA,PTZ-51 SANTA CATALINA,PTZ-54 COLEGIO SAN BORJA,PTZ-30 SAN CRISTOBAL,TOTALES,,CUADRILLA-01-C,CUADRILLA-02-C,CUADRILLA-03-L,CUADRILLA-04-L
CENTRO MP-CUZCO,3,PTZ-11 PASAJE GRECE 3,,,,SI,CEMENTO,BASE PLANA PARA VIVIENDA,SWITCH(UP),INACTIVO,CUADRILLA-03-L,2026-06-10 00:00:00,CUADRILLA-03-L,2026-06-18 00:00:00,,CAMARA PTZ (UND),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,4,4,4,4
CENTRO MP-CUZCO,3,PTZ-12 PASAJE GRECE 4,,,,SI,CEMENTO,BASE PLANA PARA VIVIENDA,SWITCH(UP),INACTIVO,CUADRILLA-03-L,2026-06-10 00:00:00,CUADRILLA-03-L,2026-06-19 00:00:00,,CAMARA MULTISENSOR (UND),0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,3,,0,1,1,1
CENTRO MP-CUZCO,3,PTZ-59 SANTO DOMINGO,MULTI-59 SANTO DOMINGO,ALTAVOZ-59 SANTO DOMINGO,,SI,CEMENTO,BASE ANGULAR PARA VIVIENDA,DIRECTO A LA CAMARA (UTP),ACTIVO,CUADRILLA-03-L,2026-06-10 00:00:00,CUADRILLA-03-L,2026-06-19 00:00:00,,ALTAVOCES (UND),0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,6,,1,2,1,2
CENTRO MP-CUZCO,3,PTZ-62 PAVITOS,,,,SI,ADOBE,BASE PLANA PARA VIVIENDA,MEDIA CONVERTE (FIBRA - MEDIA CONVERTER - CAMARA),ACTIVO,CUADRILLA-03-L,2026-06-10 00:00:00,CUADRILLA-03-L,2026-06-19 00:00:00,,BOTONES DE PANICO (UND),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,1
CENTRO MP-CUZCO,3,PTZ-63 BELEN,,ALTAVOZ-63 BELEN,BOTON-63 BELEN,SI,POSTE SEMAFORO,ABRAZADERAS PARA POSTE,DIRECTO A LA CAMARA (UTP),ACTIVO,CUADRILLA-04-L,2026-06-10 00:00:00,CUADRILLA-04-L,2026-06-18 00:00:00,,SWITCH WI-TEK (UND),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,4,4,4,4
CENTRO MP-CUZCO,3,PTZ-64 PUENTE GRAU,MULTI-64 PUENTE GRAU,ALTAVOZ-64 PUENTE GRAU,,SI,POSTE SEMAFORO,ABRAZADERAS PARA POSTE,DIRECTO A LA CAMARA (UTP),ACTIVO,CUADRILLA-04-L,2026-06-10 00:00:00,CUADRILLA-04-L,2026-06-19 00:00:00,,FUENTE DE PODER DEL SWITCH WI-TEK (UND),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,4,4,4,4
CENTRO MP-CUZCO,3,PTZ-65 KUYCHIPUNCO,,,,SI,CEMENTO,BASE ANGULAR PARA VIVIENDA,MEDIA CONVERTE (FIBRA - MEDIA CONVERTER - CAMARA),INACTIVO,CUADRILLA-04-L,2026-06-10 00:00:00,CUADRILLA-04-L,2026-06-19 00:00:00,,INYECTORES POE (UND),1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,2,19,,4,5,5,5
CENTRO MP-CUZCO,3,PTZ-67 PARDO,,,,SI,POSTE,ABRAZADERAS PARA POSTE,SWITCH(UP),ACTIVO,CUADRILLA-04-L,2026-06-10 00:00:00,CUADRILLA-04-L,2026-06-19 00:00:00,,PARARRAYOS ETHERNET (UND),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,4,4,4,4
CENTRO MP-CUZCO,3,PTZ-07 CABRACANCHA 2,,,,SI,ADOBE,BASE PLANA PARA VIVIENDA,SWITCH(UP),INACTIVO,CUADRILLA-02-C,2026-06-10 00:00:00,CUADRILLA-02-C,2026-06-17 00:00:00,,LLAVES TERMOMAGNETICAS (UND),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,4,4,4,4
CENTRO MP-CUZCO,3,PTZ-23 TRIUNFO 1,,ALTAVOZ-23 TRIUNFO 1,,SI,ADOBE,BASE ANGULAR PARA VIVIENDA,SWITCH(UP),ACTIVO,CUADRILLA-02-C,2026-06-10 00:00:00,CUADRILLA-02-C,2026-06-17 00:00:00,,LLAVES DIFERENCIALES (UND),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,4,4,4,4
CENTRO MP-CUZCO,3,PTZ-24 TRIUNFO 2,,,,SI,ADOBE,BASE ANGULAR PARA VIVIENDA,SWITCH(UP),ACTIVO,CUADRILLA-02-C,2026-06-10 00:00:00,CUADRILLA-02-C,2026-06-18 00:00:00,,UPS (UND),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,4,4,4,4
CENTRO MP-CUZCO,3,PTZ-05 ROYAL QOSCO,,,,NO,ADOBE,BASE PLANA PARA VIVIENDA,DIRECTO A LA CAMARA (UTP),ACTIVO,CUADRILLA-01-C,2026-06-10 00:00:00,CUADRILLA-01-C,2026-06-22 00:00:00,,TRANSFORMADOR (UND),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,4,4,4,4
CENTRO MP-CUZCO,3,PTZ-18 SUECIA,,ALTAVOZ-18 SUECIA,,NO,CEMENTO,BASE ANGULAR PARA VIVIENDA,DIRECTO A LA CAMARA (UTP),ACTIVO,CUADRILLA-01-C,2026-06-10 00:00:00,CUADRILLA-01-C,2026-06-22 00:00:00,,SUPRESOR DE PICOS (UND),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,4,4,4,4
CENTRO MP-CUZCO,3,PTZ-51 SANTA CATALINA,,,,NO,CEMENTO,BASE PLANA PARA VIVIENDA,MEDIA CONVERTE (FIBRA - MEDIA CONVERTER - CAMARA),ACTIVO,CUADRILLA-01-C,2026-06-10 00:00:00,CUADRILLA-01-C,2026-06-23 00:00:00,,SOPORTE DE UPS (UND),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,4,4,4,4
CENTRO MP-CUZCO,3,PTZ-54 COLEGIO SAN BORJA,,,,NO,CEMENTO,BASE PLANA PARA VIVIENDA,MEDIA CONVERTE (FIBRA - MEDIA CONVERTER - CAMARA),ACTIVO,CUADRILLA-01-C,2026-06-10 00:00:00,CUADRILLA-01-C,2026-06-23 00:00:00,,SOPORTE DE TRANSFORMADOR  (UND),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,4,4,4,4
CENTRO MP-CUZCO,3,PTZ-30 SAN CRISTOBAL,MULTI-30 SAN CRISTOBAL,ALTAVOZ-30 SAN CRISTOBAL,,NO,POSTE,ABRAZADERAS PARA POSTE,MEDIA CONVERTE (FIBRA - MEDIA CONVERTER - CAMARA),INACTIVO,CUADRILLA-02-C,2026-06-10 00:00:00,CUADRILLA-02-C,2026-06-23 00:00:00,,PRENSAESTOPA (UND),2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,32,,8,8,8,8
,,,,,,,,,,,,,,,,CORRUGADO (M),5,5,15,5,15,15,5,5,5,10,5,5,10,5,5,15,130,,25,35,30,40
,,,,,,,,,,,,,,,,CABLE ETHERNET (M),5,5,15,5,15,15,5,5,5,10,5,5,10,5,5,15,130,,25,35,30,40
,,,,,,,,,,,,,,,,CABLE ELECTRICO (M),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,64,,16,16,16,16
,,,,,,,,,,,,,,,,CONECTOR RJ45 CAT 6A (UND),2,2,6,2,6,6,2,2,2,4,2,2,4,2,2,6,52,,10,14,12,16
,,,,,,,,,,,,,,,,BRAZOS (UND),1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,2,19,,4,5,5,5
,,,,,,,,,,,,,,,,BASES DE ANCLAJE PLANO (PAR),1,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,7,,3,1,3,0
,,,,,,,,,,,,,,,,BASES DE ANCLAJE ANGULAR (PAR),0,0,2,0,0,0,1,0,0,1,1,0,1,0,0,0,6,,1,2,2,1
,,,,,,,,,,,,,,,,ABRAZADERAS POSTE CONCRETO (PAR),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,3,,0,2,0,1
,,,,,,,,,,,,,,,,ABRAZADERAS POSTE SEMAFORO (PAR),0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,3,,0,0,0,3
,,,,,,,,,,,,,,,,CINTA BANDIT (M),0,0,2,0,2,2,0,0,0,2,0,0,2,0,0,2,12,,2,4,2,4
,,,,,,,,,,,,,,,,EBILLAS (UND),0,0,2,0,2,2,0,0,0,2,0,0,2,0,0,2,12,,2,4,2,4
,,,,,,,,,,,,,,,,PATCHORE CAT 6A (UN),2,2,3,2,2,3,2,2,2,2,2,2,2,2,2,3,35,,8,9,9,9
