0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
DESTINO ESP.,FRENTE,CAMARA PTZ,CAMARA MULTISENSOR,ALTAVOZ IP,BOTON DE PANICO,DISPONIBILIDAD DE ESPACIO,MATERIAL BASE,METODO DE ANCLAJE,MEDIO DE COMUNICACION,ESTADO OPERATIVO,CUADRILLA - TIPO,FECHAS DE INSTALACION GABINETES (ADECUACION O INSTALACION NUEVA),CUADRILLA - TIPO,"FECHAS DE INSTALACION CAMARAS PTZ Y MULTISENSOR , MEGAFONOS IP , BOTON DE PANICO",,LOGISTICA,PTZ-03 MARISCAL GAMARRA,PTZ-74 COLLASUYO,PTZ-75 UNSAAC,PTZ-76 HOSPITAL REGIONAL,PTZ-77 MANZANARES,PTZ-78 PRADO,PTZ-79 MAGISTERIO,PTZ-80 MARCAVALLE,PTZ-81 CAMINO REAL,PTZ-84 LOS INCAS,PTZ-02 PLAZOLETA RECOLETA,PTZ-71 BARRIO PROFESIONAL,PTZ-73 RECOLETA,PTZ-09 PASAJE GRECE 1,PTZ-61 MATARA AYACUCHO,PTZ-06 CABRACANCHA 1,TOTALES,,CUADRILLA-01-C,CUADRILLA-02-C,CUADRILLA-03-L,CUADRILLA-04-L
ESTE MP-CUZCO,1,PTZ-03 MARISCAL GAMARRA,,ALTAVOZ-03 MARISCAL GAMARRA,,SI,POSTE,ABRAZADERAS PARA POSTE,MEDIA CONVERTE (FIBRA - MEDIA CONVERTER - CAMARA),ACTIVO,CUADRILLA-03-L,2026-06-08 00:00:00,CUADRILLA-03-L,2026-06-16 00:00:00,,CAMARA PTZ (UND),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,4,4,4,4
ESTE MP-CUZCO,1,PTZ-74 COLLASUYO,,,,SI,POSTE,ABRAZADERAS PARA POSTE,MEDIA CONVERTE (FIBRA - MEDIA CONVERTER - CAMARA),ACTIVO,CUADRILLA-03-L,2026-06-08 00:00:00,CUADRILLA-03-L,2026-06-16 00:00:00,,CAMARA MULTISENSOR (UND),0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,,1,0,1,0
ESTE MP-CUZCO,1,PTZ-75 UNSAAC,,ALTAVOZ-75 UNSAAC,,SI,POSTE,ABRAZADERAS PARA POSTE,MEDIA CONVERTE (FIBRA - MEDIA CONVERTER - CAMARA),ACTIVO,CUADRILLA-03-L,2026-06-08 00:00:00,CUADRILLA-03-L,2026-06-16 00:00:00,,ALTAVOCES (UND),1,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,7,,3,0,3,1
ESTE MP-CUZCO,1,PTZ-76 HOSPITAL REGIONAL,MULTI-76 HOSPITAL REGIONAL,ALTAVOZ-76 HOSPITAL REGIONAL,,SI,POSTE SEMAFORO,ABRAZADERAS PARA POSTE,DIRECTO A LA CAMARA (UTP),ACTIVO,CUADRILLA-03-L,2026-06-08 00:00:00,CUADRILLA-03-L,2026-06-17 00:00:00,,BOTONES DE PANICO (UND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
ESTE MP-CUZCO,1,PTZ-78 PRADO,,,,SI,POSTE,ABRAZADERAS PARA POSTE,MEDIA CONVERTE (FIBRA - MEDIA CONVERTER - CAMARA),INACTIVO,CUADRILLA-04-L,2026-06-08 00:00:00,CUADRILLA-04-L,2026-06-16 00:00:00,,SWITCH WI-TEK (UND),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,4,4,4,4
ESTE MP-CUZCO,1,PTZ-77 MANZANARES,,,,SI,POSTE,ABRAZADERAS PARA POSTE,MEDIA CONVERTE (FIBRA - MEDIA CONVERTER - CAMARA),ACTIVO,CUADRILLA-04-L,2026-06-08 00:00:00,CUADRILLA-04-L,2026-06-16 00:00:00,,FUENTE DE PODER DEL SWITCH WI-TEK (UND),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,4,4,4,4
ESTE MP-CUZCO,1,PTZ-79 MAGISTERIO,,,,SI,POSTE SEMAFORO,ABRAZADERAS PARA POSTE,DIRECTO A LA CAMARA (UTP),ACTIVO,CUADRILLA-04-L,2026-06-08 00:00:00,CUADRILLA-04-L,2026-06-16 00:00:00,,INYECTORES POE (UND),1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,18,,5,4,5,4
ESTE MP-CUZCO,1,PTZ-80 MARCAVALLE,,ALTAVOZ-80 MARCAVALLE,,SI,POSTE,ABRAZADERAS PARA POSTE,DIRECTO A LA CAMARA (UTP),ACTIVO,CUADRILLA-04-L,2026-06-08 00:00:00,CUADRILLA-04-L,2026-06-17 00:00:00,,PARARRAYOS ETHERNET (UND),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,4,4,4,4
ESTE MP-CUZCO,1,PTZ-81 CAMINO REAL,,ALTAVOZ-81 CAMINO REAL,,NO,NO EXISTE,ABRAZADERAS PARA POSTE,NO EXISTE,NO EXISTE,CUADRILLA-01-C,2026-06-08 00:00:00,CUADRILLA-01-C,2026-06-16 00:00:00,,LLAVES TERMOMAGNETICAS (UND),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,4,4,4,4
